"ID","Year","Title"
148,1995,"Awfully Big Adventure, An"
149,1994,"Amateur"
150,1995,"Apollo 13"
151,1995,"Rob Roy"
152,1995,"Addiction, The"
153,1995,"Batman Forever"
154,1967,"Beauty of the Day"
155,1995,"Beyond Rangoon"
156,1995,"Blue in the Face"
157,1995,"Canadian Bacon"
158,1995,"Casper"
159,1995,"Clockers"
160,1995,"Congo"
161,1995,"Crimson Tide"
162,1994,"Crumb"
163,1995,"Desperado"
164,1995,"Devil in a Blue Dress"
165,1995,"Die Hard: With a Vengeance"
166,1995,"Doom Generation, The"
167,1995,"Feast of July"
168,1995,"First Knight"
169,1995,"Free Willy 2: The Adventure Home"
170,1995,"Hackers"
171,1995,"Jeffrey"
172,1995,"Johnny Mnemonic"
173,1995,"Judge Dredd"
174,1995,"Jury Duty"
175,1995,"Kids"
176,1995,"Living in Oblivion"
177,1995,"Lord of Illusions"
178,1993,"Love & Human Remains"
179,1995,"Mad Love"
180,1995,"Mallrats"
181,1995,"Mighty Morphin Power Rangers: The Movie"
183,1994,"Mute Witness"
184,1994,"Nadja"
185,1995,"Net, The"
186,1995,"Nine Months"
187,1995,"Party Girl"
188,1995,"Prophecy, The"
189,1995,"Reckless"
190,1995,"Safe"
191,1995,"Scarlet Letter, The"
193,1995,"Showgirls"
194,1995,"Smoke"
195,1995,"Something to Talk About"
196,1995,"Species"
198,1995,"Strange Days"
199,1964,"Umbrellas of Cherbourg, The"
200,1995,"Tie That Binds, The"
201,1995,"Three Wishes"
202,1995,"Total Eclipse"
203,1995,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,1995,"Under Siege 2: Dark Territory"
205,1995,"Unstrung Heroes"
206,1995,"Unzipped"
207,1995,"Walk in the Clouds, A"
208,1995,"Waterworld"
209,1995,"White Man's Burden"
211,1994,"Browning Version, The"
213,1994,"Burnt by the Sun"
214,1994,"Before the Rain"
215,1995,"Before Sunrise"
216,1995,"Billy Madison"
217,1995,"Babysitter, The"
218,1995,"Boys on the Side"
219,1995,"Cure, The"
220,1995,"Castle Freak"
222,1995,"Circle of Friends"
223,1994,"Clerks"
224,1995,"Don Juan DeMarco"
225,1994,"Disclosure"
227,1994,"Drop Zone"
228,1995,"Destiny Turns on the Radio"
229,1994,"Death and the Maiden"
230,1995,"Dolores Claiborne"
231,1994,"Dumb & Dumber"
232,1994,"Eat Drink Man Woman"
233,1994,"Exotica"
234,1994,"Exit to Eden"
235,1994,"Ed Wood"
236,1995,"French Kiss"
237,1995,"Forget Paris"
238,1995,"Far From Home: The Adventures of Yellow Dog"
239,1995,"Goofy Movie, A"
240,1995,"Hideaway"
241,1995,"Fluke"
242,1994,"Farinelli: il castrato"
243,1995,"Gordy"
244,1995,"Gumby: The Movie"
245,1994,"The Glass Shield"
246,1994,"Hoop Dreams"
247,1994,"Heavenly Creatures"
248,1994,"Houseguest"
249,1994,"Immortal Beloved"
250,1995,"Heavyweights"
251,1995,"Hunted, The"
252,1994,"I.Q."
253,1994,"Interview with the Vampire: The Vampire Chronicles"
254,1995,"Jefferson in Paris"
255,1995,"Jerky Boys, The"
256,1994,"Junior"
257,1995,"Just Cause"
258,1995,"Kid in King Arthur's Court, A"
259,1995,"Kiss of Death"
260,1977,"Star Wars: Episode IV - A New Hope"
261,1994,"Little Women"
262,1995,"Little Princess, A"
263,1994,"Ladybird Ladybird"
264,1994,"Enfer, L'"
265,1992,"Like Water for Chocolate"
266,1994,"Legends of the Fall"
267,1995,"Major Payne"
268,1994,"Little Odessa"
269,1993,"My Crazy Life"
270,1994,"Love Affair"
271,1995,"Losing Isaiah"
272,1994,"Madness of King George, The"
273,1994,"Mary Shelley's Frankenstein"
274,1995,"Man of the House"
275,1994,"Mixed Nuts"
276,1994,"Milk Money"
277,1994,"Miracle on 34th Street"
278,1995,"Miami Rhapsody"
279,1995,"My Family"
280,1995,"Murder in the First"
281,1994,"Nobody's Fool"
282,1994,"Nell"
283,1995,"New Jersey Drive"
285,1993,"Beyond Bedlam"
287,1994,"Nina Takes a Lover"
288,1994,"Natural Born Killers"
289,1994,"Only You"
290,1994,"Once Were Warriors"
291,1996,"Poison Ivy II"
292,1995,"Outbreak"
293,1994,"Léon: The Professional"
294,1995,"Perez Family, The"
295,1995,"Pyromaniac's Love Story, A"
296,1994,"Pulp Fiction"
299,1994,"Priest"
300,1994,"Quiz Show"
301,1994,"Picture Bride"
302,1994,"Queen Margot"
303,1995,"Quick and the Dead, The"
304,1995,"Roommates"
305,1994,"Ready to Wear"
306,1994,"Three Colors: Red"
307,1993,"Three Colors: Blue"
308,1994,"Three Colors: White"
309,1994,"Red Firecracker, Green Firecracker"
312,1995,"Stuart Saves His Family"
313,1994,"Swan Princess, The"
314,1994,"Secret of Roan Inish, The"
315,1994,"Specialist, The"
316,1994,"Stargate"
317,1994,"Santa Clause, The"
318,1994,"Shawshank Redemption, The"
319,1994,"Shallow Grave"
320,1993,"Suture"
321,1993,"Strawberry and Chocolate"
322,1995,"Swimming with Sharks"
324,1994,"Sum of Us, The"
325,1995,"National Lampoon's Senior Trip"
326,1994,"To Live"
327,1995,"Tank Girl"
328,1995,"Tales from the Crypt Presents: Demon Knight"
329,1994,"Star Trek: Generations"
330,1995,"Tales from the Hood"
331,1994,"Tom & Viv"
332,1995,"Village of the Damned"
333,1995,"Tommy Boy"
334,1994,"Vanya on 42nd Street"
335,1995,"Underneath"
336,1995,"Walking Dead, The"
337,1993,"What's Eating Gilbert Grape"
338,1995,"Virtuosity"
339,1995,"While You Were Sleeping"
340,1994,"War, The"
341,1994,"Double Happiness"
342,1994,"Muriel's Wedding"
343,1995,"Baby-Sitters Club, The"
344,1994,"Ace Ventura: Pet Detective"
345,1994,"Adventures of Priscilla, Queen of the Desert, The"
346,1993,"Backbeat"
347,1992,"Bitter Moon"
348,1994,"Bullets Over Broadway"
349,1994,"Clear and Present Danger"
350,1994,"Client, The"
351,1994,"Corrina, Corrina"
352,1994,"Crooklyn"
353,1994,"Crow, The"
354,1994,"Cobb"
355,1994,"Flintstones, The"
356,1994,"Forrest Gump"
357,1994,"Four Weddings and a Funeral"
358,1995,"Higher Learning"
360,1994,"I Love Trouble"
361,1994,"It Could Happen to You"
362,1994,"Jungle Book, The"
363,1993,"Wonderful, Horrible Life of Leni Riefenstahl, The"
364,1994,"Lion King, The"
365,1993,"Little Buddha"
366,1994,"Wes Craven's New Nightmare"
367,1994,"Mask, The"
368,1994,"Maverick"
369,1994,"Mrs. Parker and the Vicious Circle"
370,1994,"Naked Gun 33 1/3: The Final Insult"
371,1994,"Paper, The"
372,1994,"Reality Bites"
373,1992,"Red Rock West"
374,1994,"Richie Rich"
375,1994,"Safe Passage"
376,1994,"River Wild, The"
377,1994,"Speed"
378,1994,"Speechless"
379,1994,"Timecop"
380,1994,"True Lies"
381,1994,"When a Man Loves a Woman"
382,1994,"Wolf"
383,1994,"Wyatt Earp"
384,1995,"Bad Company"
387,1994,"Low Down Dirty Shame, A"
388,1995,"Boys Life"
389,1994,"Colonel Chabert, Le"
390,1965,"Faster Pussycat! Kill! Kill!"
391,1994,"Jason's Lyric"
392,1993,"Secret Adventures of Tom Thumb, The"
393,1994,"Street Fighter"
401,1995,"Mirage"
405,1994,"Highlander III: The Sorcerer"
407,1995,"In the Mouth of Madness"
408,1994,"8 Seconds"
409,1994,"Above the Rim"
410,1993,"Addams Family Values"
412,1993,"Age of Innocence, The"
413,1994,"Airheads"
414,1994,"Air Up There, The"
415,1993,"Another Stakeout"
416,1994,"Bad Girls"
417,1994,"Barcelona"
418,1993,"Being Human"
419,1993,"Beverly Hillbillies, The"
420,1994,"Beverly Hills Cop III"
421,1994,"Black Beauty"
422,1994,"Blink"
423,1994,"Blown Away"
424,1994,"Blue Chips"
425,1994,"Blue Sky"
426,1993,"Body Snatchers"
427,1993,"Boxing Helena"
428,1993,"Bronx Tale, A"
429,1994,"Cabin Boy"
431,1993,"Carlito's Way"
432,1994,"City Slickers II: The Legend of Curly's Gold"
433,1994,"Clean Slate"
434,1993,"Cliffhanger"
435,1993,"Coneheads"
436,1994,"Color of Night"
437,1994,"Cops and Robbersons"
438,1994,"Cowboy Way, The"
439,1993,"Dangerous Game"
440,1993,"Dave"
441,1993,"Dazed and Confused"
442,1993,"Demolition Man"
443,1994,"Endless Summer 2, The"
444,1993,"Even Cowgirls Get the Blues"
445,1993,"Fatal Instinct"
446,1993,"Farewell My Concubine"
447,1994,"Favor, The"
448,1993,"Fearless"
449,1994,"Fear of a Black Hat"
450,1994,"With Honors"
451,1993,"Flesh and Bone"
452,1994,"Widows' Peak"
453,1993,"For Love or Money"
454,1993,"Firm, The"
455,1993,"Free Willy"
456,1994,"Fresh"
457,1993,"Fugitive, The"
458,1993,"Geronimo: An American Legend"
459,1994,"Getaway, The"
460,1994,"Getting Even with Dad"
461,1994,"Go Fish"
463,1993,"Guilty as Sin"
464,1993,"Hard Target"
465,1993,"Heaven & Earth"
466,1993,"Hot Shots! Part Deux"
467,1995,"Live Nude Girls"
468,1995,"Englishman Who Went Up a Hill But Came Down a Mountain, The"
469,1993,"House of the Spirits, The"
470,1994,"House Party 3"
471,1994,"Hudsucker Proxy, The"
472,1994,"I'll Do Anything"
473,1994,"In the Army Now"
474,1993,"In the Line of Fire"
475,1993,"In the Name of the Father"
476,1994,"Inkwell, The"
477,1993,"What's Love Got to Do with It?"
479,1993,"Judgment Night"
480,1993,"Jurassic Park"
481,1993,"Kalifornia"
482,1994,"Killing Zoe"
483,1993,"King of the Hill"
484,1994,"Lassie"
485,1993,"Last Action Hero"
486,1993,"Life with Mikey"
487,1994,"Lightning Jack"
488,1993,"M. Butterfly"
489,1993,"Made in America"
490,1993,"Malice"
491,1993,"Man Without a Face, The"
492,1993,"Manhattan Murder Mystery"
493,1993,"Menace II Society"
494,1996,"Executive Decision"
495,1976,"In the Realm of the Senses"
496,1994,"What Happened Was..."
497,1993,"Much Ado About Nothing"
498,1993,"Mr. Jones"
499,1993,"Mr. Wonderful"
500,1993,"Mrs. Doubtfire"
501,1993,"Naked"
502,1994,"Next Karate Kid, The"
504,1994,"No Escape"
505,1994,"North"
506,1992,"Orlando"
507,1993,"Perfect World, A"
508,1993,"Philadelphia"
509,1993,"Piano, The"
510,1993,"Poetic Justice"
511,1993,"Program, The"
512,1994,"Puppet Masters, The"
513,1994,"Radioland Murders"
514,1994,"Ref, The"
515,1993,"Remains of the Day, The"
516,1994,"Renaissance Man"
517,1993,"Rising Sun"
518,1994,"Road to Wellville, The"
519,1993,"RoboCop 3"
520,1993,"Robin Hood: Men in Tights"
521,1993,"Romeo Is Bleeding"
522,1992,"Romper Stomper"
523,1993,"Ruby in Paradise"
524,1993,"Rudy"
526,1992,"Savage Nights"
527,1993,"Schindler's List"
528,1994,"Scout, The"
529,1993,"Searching for Bobby Fischer"
531,1993,"Secret Garden, The"
532,1994,"Serial Mom"
533,1994,"Shadow, The"
534,1993,"Shadowlands"
535,1993,"Short Cuts"
536,1994,"Simple Twist of Fate, A"
537,1994,"Sirens"
538,1993,"Six Degrees of Separation"
539,1993,"Sleepless in Seattle"
540,1993,"Sliver"
541,1982,"Blade Runner"
542,1993,"Son in Law"
543,1993,"So I Married an Axe Murderer"
544,1993,"Striking Distance"
546,1993,"Super Mario Bros."
547,1994,"Surviving the Game"
548,1994,"Terminal Velocity"
549,1993,"Thirty-Two Short Films About Glenn Gould"
550,1994,"Threesome"
551,1993,"Nightmare Before Christmas, The"
552,1993,"Three Musketeers, The"
553,1993,"Tombstone"
554,1994,"Trial by Jury"
555,1993,"True Romance"
556,1993,"War Room, The"
558,1994,"Pagemaster, The"
559,1993,"Paris, France"
561,1994,"Killer"
562,1995,"Welcome to the Dollhouse"
563,1993,"Germinal"
564,1994,"Chasers"
565,1993,"Cronos"
567,1993,"Kika"
568,1993,"Bhaji on the Beach"
569,1994,"Little Big League"
571,1994,"Wedding Gift, The"
573,1992,"Ciao, Professore!"
574,1994,"Spanking the Monkey"
575,1994,"Little Rascals, The"
577,1994,"Andre"
580,1994,"Princess Caraboo"
581,1995,"Celluloid Closet, The"
582,1993,"Métisse"
585,1995,"Brady Bunch Movie, The"
586,1990,"Home Alone"
587,1990,"Ghost"
588,1992,"Aladdin"
589,1991,"Terminator 2: Judgment Day"
590,1990,"Dances with Wolves"
592,1989,"Batman"
593,1991,"Silence of the Lambs, The"
594,1937,"Snow White and the Seven Dwarfs"
595,1991,"Beauty and the Beast"
596,1940,"Pinocchio"
597,1990,"Pretty Woman"
599,1969,"Wild Bunch, The"
600,1994,"Love and a .45"
603,1995,"Bye Bye, Love"
605,1996,"One Fine Day"
606,1995,"Candyman: Farewell to the Flesh"
608,1996,"Fargo"
609,1996,"Homeward Bound II: Lost in San Francisco"
610,1981,"Heavy Metal"
611,1996,"Hellraiser: Bloodline"
612,1996,"Pallbearer, The"
613,1996,"Jane Eyre"
614,1994,"Loaded"
615,1973,"Bread and Chocolate"
616,1970,"Aristocats, The"
617,1995,"Flower of My Secret, The"
619,1996,"Ed"
620,1991,"Scream of Stone"
621,1993,"My Favorite Season"
626,1996,"Thin Line Between Love and Hate, A"
627,1995,"Last Supper, The"
628,1996,"Primal Fear"
630,1996,"Carried Away"
631,1996,"All Dogs Go to Heaven 2"
632,1995,"Land and Freedom"
633,1995,"Denise Calls Up"
635,1996,"Family Thing, A"
637,1996,"Sgt. Bilko"
638,1995,"Jack and Sarah"
639,1996,"Girl 6"
640,1996,"Diabolique"
647,1996,"Courage Under Fire"
648,1996,"Mission: Impossible"
650,1996,"Moll Flanders"
651,1996,"Superweib, Das"
653,1996,"Dragonheart"
656,1996,"Eddie"
659,1960,"Purple Noon"
661,1996,"James and the Giant Peach"
662,1996,"Fear"
663,1996,"Kids in the Hall: Brain Candy"
664,1996,"Faithful"
665,1995,"Underground"
667,1996,"Bloodsport 2"
668,1955,"Song of the Little Road"
670,1959,"World of Apu, The"
671,1996,"Mystery Science Theater 3000: The Movie"
673,1996,"Space Jam"
674,1968,"Barbarella"
678,1993,"Some Folks Call It a Sling Blade"
679,1995,"Run of the Country, The"
680,1965,"Alphaville"
681,1981,"Coup de torchon"
685,1996,"It's My Party"
687,1994,"Country Life"
688,1995,"Operation Dumbo Drop"
690,1995,"Promise, The"
691,1996,"Mrs. Winterbourne"
692,1996,"Solo"
694,1996,"Substitute, The"
695,1996,"True Crime"
696,1995,"Butterfly Kiss"
697,1996,"Feeling Minnesota"
698,1995,"Delta of Venus"
700,1995,"Angus"
702,1968,"Faces"
703,1996,"Boys"
704,1996,"Quest, The"
705,1996,"Cosi"
707,1996,"Mulholland Falls"
708,1996,"Truth About Cats & Dogs, The"
709,1988,"Oliver & Company"
710,1996,"Celtic Pride"
711,1996,"Flipper"
714,1995,"Dead Man"
715,1995,"Horseman on the Roof, The"
718,1993,"Visitors, The"
719,1996,"Multiplicity"
720,1996,"Wallace & Gromit: The Best of Aardman Animation"
721,1995,"Halfmoon"
722,1996,"Haunted World of Edward D. Wood Jr., The"
724,1996,"Craft, The"
725,1996,"Great White Hype, The"
726,1996,"Last Dance"
728,1995,"Cold Comfort Farm"
731,1996,"Heaven's Prisoners"
733,1996,"Rock, The"
735,1994,"Cemetery Man"
736,1996,"Twister"
737,1996,"Barb Wire"
741,1995,"Ghost in the Shell"
742,1996,"Thinner"
743,1996,"Spy Hard"
745,1995,"Wallace & Gromit: A Close Shave"
746,1948,"Force of Evil"
747,1996,"Stupids, The"
748,1996,"Arrival, The"
750,1964,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
753,1995,"Month by the Lake, A"
754,1995,"Gold Diggers: The Secret of Bear Mountain"
755,1950,"Kim"
756,1994,"Carmen Miranda: Bananas Is My Business"
757,1994,"Ashes of Time"
759,1994,"Maya Lin: A Strong Clear Vision"
760,1993,"Stalingrad"
761,1996,"Phantom, The"
762,1996,"Striptease"
764,1995,"Heavy"
765,1996,"Jack"
766,1996,"I Shot Andy Warhol"
767,1995,"Grass Harp, The"
769,1996,"Marlene Dietrich: Shadow and Light"
775,1968,"Spirits of the Dead"
778,1996,"Trainspotting"
779,1997,"'Til There Was You"
780,1996,"Independence Day"
781,1996,"Stealing Beauty"
782,1996,"Fan, The"
783,1996,"Hunchback of Notre Dame, The"
784,1996,"Cable Guy, The"
785,1996,"Kingpin"
786,1996,"Eraser"
787,1995,"Gate of Heavenly Peace, The"
788,1996,"Nutty Professor, The"
793,1993,"My Life and Times With Antonin Artaud"
798,1996,"Daylight"
799,1996,"Frighteners, The"
800,1996,"Lone Star"
801,1996,"Harriet the Spy"
802,1996,"Phenomenon"
803,1996,"Walking and Talking"
804,1996,"She's the One"
805,1996,"Time to Kill, A"
806,1996,"American Buffalo"
808,1996,"Alaska"
809,1996,"Fled"
810,1996,"Kazaam"
813,1996,"Larger Than Life"
816,1995,"Two Deaths"
818,1996,"Very Brady Sequel, A"
820,1956,"Death in the Garden"
824,1993,"Kaspar Hauser"
828,1996,"Adventures of Pinocchio, The"
829,1996,"Joe's Apartment"
830,1996,"First Wives Club, The"
831,1995,"Stonewall"
832,1996,"Ransom"
833,1996,"High School High"
834,1996,"Phat Beach"
835,1996,"Foxfire"
836,1996,"Chain Reaction"
837,1996,"Matilda"
838,1996,"Emma"
839,1996,"Crow: City of Angels, The"
840,1996,"House Arrest"
841,1959,"Eyes Without a Face"
842,1996,"Tales from the Crypt Presents: Bordello of Blood"
844,1994,"Story of Xinghua, The"
845,1994,"Day the Sun Turned Cold, The"
846,1995,"Flirt"
848,1996,"Spitfire Grill, The"
849,1996,"Escape from L.A."
850,1995,"Cyclo"
851,1996,"Basquiat"
852,1996,"Tin Cup"
854,1958,"Ballad of Narayama, The"
858,1972,"Godfather, The"
861,1992,"Supercop"
864,1995,"Wife, The"
865,1996,"Small Faces"
866,1996,"Bound"
867,1996,"Carpool"
869,1996,"Kansas City"
870,1997,"Gone Fishin'"
872,1994,"Vive L'Amour"
875,1994,"Nothing to Lose"
876,1993,"Supercop 2"
879,1997,"Relic, The"
880,1996,"Island of Dr. Moreau, The"
881,1996,"First Kid"
882,1996,"Trigger Effect, The"
885,1996,"Bogus"
886,1996,"Bulletproof"
888,1995,"Land Before Time III: The Time of the Great Giving"
889,1994,"1-900"
891,1995,"Halloween: The Curse of Michael Myers"
892,1996,"Twelfth Night"
893,1996,"Mother Night"
896,1994,"Wild Reeds"
897,1943,"For Whom the Bell Tolls"
898,1940,"Philadelphia Story, The"
899,1952,"Singin' in the Rain"
900,1951,"American in Paris, An"
901,1957,"Funny Face"
902,1961,"Breakfast at Tiffany's"
903,1958,"Vertigo"
904,1954,"Rear Window"
905,1934,"It Happened One Night"
906,1944,"Gaslight"
907,1934,"Gay Divorcee, The"
908,1959,"North by Northwest"
909,1960,"Apartment, The"
910,1959,"Some Like It Hot"
911,1963,"Charade"
912,1942,"Casablanca"
913,1941,"Maltese Falcon, The"
914,1964,"My Fair Lady"
915,1954,"Sabrina"
916,1953,"Roman Holiday"
917,1939,"Little Princess, The"
918,1944,"Meet Me in St. Louis"
919,1939,"Wizard of Oz, The"
920,1939,"Gone with the Wind"
921,1982,"My Favorite Year"
922,1950,"Sunset Blvd."
923,1941,"Citizen Kane"
924,1968,"2001: A Space Odyssey"
926,1950,"All About Eve"
927,1939,"Women, The"
928,1940,"Rebecca"
929,1940,"Foreign Correspondent"
930,1946,"Notorious"
931,1945,"Spellbound"
932,1957,"Affair to Remember, An"
933,1955,"To Catch a Thief"
934,1950,"Father of the Bride"
935,1953,"Band Wagon, The"
936,1939,"Ninotchka"
937,1957,"Love in the Afternoon"
938,1958,"Gigi"
939,1958,"Reluctant Debutante, The"
940,1938,"Adventures of Robin Hood, The"
941,1940,"Mark of Zorro, The"
942,1944,"Laura"
943,1947,"Ghost and Mrs. Muir, The"
944,1937,"Lost Horizon"
945,1935,"Top Hat"
946,1942,"To Be or Not to Be"
947,1936,"My Man Godfrey"
948,1956,"Giant"
949,1955,"East of Eden"
950,1934,"Thin Man, The"
951,1940,"His Girl Friday"
952,1956,"Around the World in 80 Days"
953,1946,"It's a Wonderful Life"
954,1939,"Mr. Smith Goes to Washington"
955,1938,"Bringing Up Baby"
956,1941,"Penny Serenade"
957,1926,"Scarlet Letter, The"
960,1946,"Angel on My Shoulder"
961,1936,"Little Lord Fauntleroy"
962,1939,"They Made Me a Criminal"
963,1949,"Inspector General, The"
964,1947,"Angel and the Badman"
965,1935,"39 Steps, The"
966,1945,"A Walk in the Sun"
968,1968,"Night of the Living Dead"
969,1951,"African Queen, The"
970,1953,"Beat the Devil"
971,1958,"Cat on a Hot Tin Roof"
972,1954,"Last Time I Saw Paris, The"
973,1941,"Meet John Doe"
976,1932,"Farewell to Arms, A"
980,1985,"Yes, Madam (a.k.a. Police Assassins)"
981,1997,"Dangerous Ground"
982,1955,"Picnic"
984,1996,"Pompatus of Love, The"
986,1996,"Fly Away Home"
987,1997,"Bliss"
988,1996,"Grace of My Heart"
990,1996,"Maximum Risk"
991,1996,"Michael Collins"
992,1996,"Rich Man's Wife, The"
994,1996,"Big Night"
996,1996,"Last Man Standing"
997,1996,"Caught"
998,1996,"Set It Off"
999,1996,"2 Days in the Valley"
1003,1996,"Extreme Measures"
1004,1996,"Glimmer Man, The"
1005,1996,"D3: The Mighty Ducks"
1006,1996,"Chamber, The"
1007,1975,"Apple Dumpling Gang, The"
1008,1955,"Davy Crockett, King of the Wild Frontier"
1009,1975,"Escape to Witch Mountain"
1010,1969,"Love Bug, The"
1011,1974,"Herbie Rides Again"
1012,1957,"Old Yeller"
1013,1961,"Parent Trap, The"
1014,1960,"Pollyanna"
1015,1993,"Homeward Bound: The Incredible Journey"
1016,1959,"Shaggy Dog, The"
1017,1960,"Swiss Family Robinson"
1018,1965,"That Darn Cat!"
1019,1954,"20,000 Leagues Under the Sea"
1020,1993,"Cool Runnings"
1021,1994,"Angels in the Outfield"
1022,1950,"Cinderella"
1023,1968,"Winnie the Pooh and the Blustery Day"
1024,1945,"Three Caballeros, The"
1025,1963,"Sword in the Stone, The"
1026,1949,"So Dear to My Heart"
1027,1991,"Robin Hood: Prince of Thieves"
1028,1964,"Mary Poppins"
1029,1941,"Dumbo"
1030,1977,"Pete's Dragon"
1031,1971,"Bedknobs and Broomsticks"
1032,1951,"Alice in Wonderland"
1033,1981,"Fox and the Hound, The"
1034,1996,"Freeway"
1035,1965,"Sound of Music, The"
1036,1988,"Die Hard"
1037,1992,"Lawnmower Man, The"
1040,1996,"Secret Agent, The"
1041,1996,"Secrets & Lies"
1042,1996,"That Thing You Do!"
1043,1996,"To Gillian on Her 37th Birthday"
1044,1996,"Surviving Picasso"
1046,1996,"Beautiful Thing"
1047,1996,"Long Kiss Goodnight, The"
1049,1996,"Ghost and the Darkness, The"
1050,1996,"Looking for Richard"
1051,1996,"Trees Lounge"
1053,1996,"Normal Life"
1054,1996,"Get on the Bus"
1055,1997,"Shadow Conspiracy"
1056,1996,"Jude"
1057,1996,"Everyone Says I Love You"
1059,1996,"William Shakespeare's Romeo + Juliet"
1060,1996,"Swingers"
1061,1996,"Sleepers"
1063,1996,"Johns"
1064,1996,"Aladdin and the King of Thieves"
1066,1937,"Shall We Dance"
1067,1937,"Damsel in Distress, A"
1068,1947,"Crossfire"
1069,1944,"Murder, My Sweet"
1073,1971,"Willy Wonka & the Chocolate Factory"
1076,1961,"Innocents, The"
1077,1973,"Sleeper"
1078,1971,"Bananas"
1079,1988,"Fish Called Wanda, A"
1080,1979,"Monty Python's Life of Brian"
1081,1982,"Victor/Victoria"
1082,1972,"Candidate, The"
1083,1965,"Great Race, The"
1084,1967,"Bonnie and Clyde"
1085,1958,"Old Man and the Sea, The"
1086,1954,"Dial M for Murder"
1087,1995,"Madame Butterfly"
1088,1987,"Dirty Dancing"
1089,1992,"Reservoir Dogs"
1090,1986,"Platoon"
